    Vardas             Pavarde     ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9    ND10    ND11    ND12    ND13    ND14    ND15    Egz.
Vardas1367         Pavarde1367       2       3       2       9       9       2       9       9       4       3       1       6       7       4       9       9
Vardas1368         Pavarde1368       8       7       9       3       5       8       6       8       8       5       7       5       7       6       7      10
Vardas1369         Pavarde1369       9       2       4       8       7       1       1       4       4       2       6       9       5       9       5       1
Vardas1370         Pavarde1370       5       5       8       4      10       9      10       9       5       8      10       5       3      10       2       3
Vardas1371         Pavarde1371       6       8       2       7       3      10       8       1       4       5       6       6       8       5       6       9
Vardas1372         Pavarde1372       9       1       6       1       6       6       1      10       4       8       1       5       5       9       4       2
Vardas1373         Pavarde1373      10       9       4       7       8       5      10       3       5       6       5       2       6       5       6       8
Vardas1374         Pavarde1374       7       5       5       7       2       3       5       1       6       9       6       7       5       4       6       2
Vardas1375         Pavarde1375       8       7       8       9       1       6       5       4       6       3       8       2       4       7       3       7
Vardas1376         Pavarde1376       5       7       5       1       1       8       6       7       4       3       2       2       6       3       8       3
Vardas1377         Pavarde1377       9       3       5       3       1       9       8       3       3       2       9       1       5       7      10       3
Vardas1378         Pavarde1378       8       4       1       8       6       8       1       7       3       5       7       4       3       7       4       2
Vardas1379         Pavarde1379       6       9       7       2       6      10       5       2       3       6       2      10       3       4       8       2
Vardas1380         Pavarde1380       9       3       4       5       6       3       4       1       3       9       6       9       3       8       4       2
Vardas1381         Pavarde1381       5       2       9       9       6       7       2       7       9       5       2       2       8       2       5       1
Vardas1382         Pavarde1382       4       6       4       4       1       4       5       5       6       4       1      10       8       1       1       9
Vardas1383         Pavarde1383       6       7       5       5       8      10       7       9       9       3       7       8       5       1       7      10
Vardas1384         Pavarde1384       6       6       1       8       5       5       7      10       6       9       8       1       2       3       8       5
Vardas1385         Pavarde1385      10       2       5       9       7      10       1       5       5       2       1       5       3       5       9       7
Vardas1386         Pavarde1386       3       7       3       1       1       1       7      10       9       2       6       3      10      10       1       5
Vardas1387         Pavarde1387      10       6       2      10       3       9       9       9      10       4       1       6       1       9       7       1
Vardas1388         Pavarde1388       8       3       5       2       2       4       6       4       7       9       1       7       5       7      10       1
Vardas1389         Pavarde1389       4       4       4       9       1       3       3       7       9       9       4       7       3       3       3       5
Vardas1390         Pavarde1390       2      10      10       3       6       6       7       3       4      10       7       1       8       2       1       2
Vardas1391         Pavarde1391       3       5       4       2       4       4       5       4       5       5       5       5       5       1       2       7
Vardas1392         Pavarde1392       1      10       7       3       2       3       1       4       2       3       1       7       3      10       7       7
Vardas1393         Pavarde1393       8       4       4       4       2       4       7       4       7       6       2       7       9       8       6       9
Vardas1394         Pavarde1394       8       2       5       9       3       7       5       8       3       3       3       2      10       9       1       9
Vardas1395         Pavarde1395       5       9       8       1       4      10       2      10       1       8       3       6       3       2       1       8
Vardas1396         Pavarde1396       9       4       3       1       1       9       6      10       8       7       3       6       9       1       3       3
Vardas1397         Pavarde1397       2       5       7       7       7       1       7       1       5       3       6       1       1       9       2       4
Vardas1398         Pavarde1398       5       5       4       4       7       4       5       5      10       7      10      10      10       6       3       8
Vardas1399         Pavarde1399       2       2       5       9       7       9       3      10      10      10       7       9       7       1       5      10
Vardas1400         Pavarde1400       9       5       3       4       1       8       2       1       6       6       7       3       5       8       9       7
Vardas1401         Pavarde1401       6      10       4       4       3       1       5       6       9       1       5       7       5      10       5       5
Vardas1402         Pavarde1402       5       3       9       4       6       4       3       1       6       4       4       8       2       1       6       7
Vardas1403         Pavarde1403       5       1       9       9       5       7       8       6       8       2       2       3       1       7       8      10
Vardas1404         Pavarde1404       2       5       6      10       9       6      10       8       3       7       3      10       1       3      10       6
Vardas1405         Pavarde1405       4       9       2       1       4       9       7       1       6       5       2       2       9       5      10       2
Vardas1406         Pavarde1406       9       3       2       3       8       8       4       3       1       1       6       8       8       9       7       1
Vardas1407         Pavarde1407       9      10       1       4       3       3       7       4       6      10       9      10       9       6       6       4
Vardas1408         Pavarde1408       2       8       2       6       6       8       2       9       2       2       3       9      10       3       6       9
Vardas1409         Pavarde1409       2       2       5       1       6       7       3       7       2       4       8       7       3       3       6       7
Vardas1410         Pavarde1410       8       9       4      10      10       4       8       7       4       3       7      10       8       9      10       9
Vardas1411         Pavarde1411       4       9       4       5       4       5       1       7       1       6       4      10       6       6       5       1
Vardas1412         Pavarde1412       6       2       6       4       2       3       2       6       2      10       1       1       7       7       9       2
Vardas1413         Pavarde1413       4       5       9       8       7      10       7       4       2       8       2       8       3       7       1       9
Vardas1414         Pavarde1414       6       4       7       8       8       9       4       5       2       8       9       1       9       7       1       9
Vardas1415         Pavarde1415       7       1      10       4       2       2       6      10       1       5       7       3       6       8       2       5
Vardas1416         Pavarde1416       7       3       3       9       8       3       7       2       4       2       1      10       8       5       4       7
Vardas1417         Pavarde1417       9       7       7       8      10       4      10       8       2       1       6       3       8       3       5       3
Vardas1418         Pavarde1418       3       5       1       5      10       4       3      10       9       4       6       2       1       7       4       3
Vardas1419         Pavarde1419       8       1       3       3       8       9       1       5       6       2       4       9       2       9       2       6
Vardas1420         Pavarde1420       9       2       5       4       1      10       2       9       4       6       2       5       7       7       9       9
Vardas1421         Pavarde1421       8       9       8       7       4       7       8       7       2       4       8       9       8       8       7       5
Vardas1422         Pavarde1422       4       6       9       7       4       5       1       3       7       2       7       1       9       9       3       4
Vardas1423         Pavarde1423       1       7       4       6       8       8       9       9       7       9       5       8       9       3       1      10
Vardas1424         Pavarde1424       6       9       6       1       2       3       7       5       9       6       2       7       1      10      10       6
Vardas1425         Pavarde1425       9       4       4       7       2       8       1       9       4       7       3       5       7       2       4       9
Vardas1426         Pavarde1426       6       7       4       9       4       2      10       8       1       7       4       6       3      10       4       1
Vardas1427         Pavarde1427       9       3       7       4       4       7       4       9       7       1       8       3       1       2       6       3
Vardas1428         Pavarde1428       2       9       3       4      10       5       6       4       1       6      10       9       5       7       1       8
Vardas1429         Pavarde1429       8       6       9       4       2       2       4       2       6       3       9       7       6       9       6       6
Vardas1430         Pavarde1430       3       1       2       6       2       3       7       6       9       5       2       8       9       3       2       2
Vardas1431         Pavarde1431       7       4       2       8       9       1       4       7      10       2       2      10      10       3       4       1
Vardas1432         Pavarde1432       4       2       5       9       4       6       8       2       6       5       6       4       3       2       8       5
Vardas1433         Pavarde1433      10       7       2       1       8       9      10       3       4       3       7       5       6       9       9       7
Vardas1434         Pavarde1434       7       5      10       8       9       7       2       1       7       6       2       6       7       1       9       4
Vardas1435         Pavarde1435       6       1       7       4       8      10       2       9      10       4       3       4       3       4       7       3
Vardas1436         Pavarde1436       3       2      10       5       6       8       8       3       9       6       2       1       9       9       9       9
Vardas1437         Pavarde1437       9       2       6       7       9       5       1       7       5       7       8       6       9       8       4      10
Vardas1438         Pavarde1438       1       7       2       5       8       3       3       3       5       7       4       8       1       4       5       1
Vardas1439         Pavarde1439       9       2      10       1       1       4       7       5       2       5       1       1       3       4       5       5
Vardas1440         Pavarde1440       7       8       6       9       3       2       5       2       5       1       6       5       4       5       1       4
Vardas1441         Pavarde1441       4       5       5       2       5       8       8       8       3       7       4       9       5       2      10       3
Vardas1442         Pavarde1442       4       1       8      10       3       9       4       9       7       5       2       2       3       2       9       7
Vardas1443         Pavarde1443       9       9       5       1       6       7       9       6       9       3       3       5       2       8      10       4
Vardas1444         Pavarde1444       7       5       6       3       7       7       8       3       2       3       4       2       7       1       3       5
Vardas1445         Pavarde1445       8       5       7       4       9       4      10       4       4       8       1       8       9       6       1       1
Vardas1446         Pavarde1446       2       2       6       2       2       6       7       8       7      10       8       1       6       2       2       4
Vardas1447         Pavarde1447       9       7       3       6       4       3       8       5       1      10       8       4       6       6       5       6
Vardas1448         Pavarde1448      10       4       4       2       4       7       6       5       8       9      10       8       6       3       1       2
Vardas1449         Pavarde1449       7       1       3       6       1       1       1       4       7       7       7       5       8       6       1       5
Vardas1450         Pavarde1450       1       3       6       2      10       7       8       4       4       6       2       2       2      10       2       8
Vardas1451         Pavarde1451       3       9      10       1      10       6       9       8       8       1       4      10       7       6       7       9
Vardas1452         Pavarde1452       6       7       2       7       9       2       4       9       4       9       1       4       7       5       1       2
Vardas1453         Pavarde1453       7       3       2       2       1       6       3       1       9       6       5       7       6       8       7       1
Vardas1454         Pavarde1454       8       2       8       1      10       8      10       7       2       6       8       3       8       1      10       3
Vardas1455         Pavarde1455       6       1       5       7       2       3       7       8       9       6       1       1       4       7      10       1
Vardas1456         Pavarde1456       3       4      10       2       7       3       6       1       3       5       9      10       3      10       2       4
Vardas1457         Pavarde1457       3       3       8       9       3       7       2       1      10       7       4      10       6       7       6       5
Vardas1458         Pavarde1458       2       7       9       2      10       9       7       4       4       1       8       3      10       7       4       2
Vardas1459         Pavarde1459       6       4       4       7      10       6       4       5      10       7       4       8       4       6       7       6
Vardas1460         Pavarde1460       3       1       2       1      10       1       5       7       9       6      10       9       1       3      10       4
Vardas1461         Pavarde1461       9       7       6      10       3       2       5       2       3       5       7       3       6       8       6      10
Vardas1462         Pavarde1462       7       1       3       4       6       6       6       4       1       5       1       2       6       8       6       9
Vardas1463         Pavarde1463       9       6       5       8       5       4      10       1       4       9       4       3       8       9       3       2
Vardas1464         Pavarde1464       5       9       2      10       7       8       9       9       8       2       7       4       7      10       6       2
Vardas1465         Pavarde1465       8       8       8       1       7       8       3       1       1       4      10       5       8       7       9       1
Vardas1466         Pavarde1466       4       1       8       9       9       6       6       9       9      10       2      10       8       8       5      10
Vardas1467         Pavarde1467       8       9       8       1      10       6       8       1       4       3       7       6       4       6       4       8
Vardas1468         Pavarde1468       8       7       3       8       7       2       4       8       5       3       7       1       3       1       3       5
Vardas1469         Pavarde1469       5       9       4       6      10      10      10      10      10       2       1       2       7       1      10      10
Vardas1470         Pavarde1470       3       7       1       7       1       6       7       5       4       9       3       6       6       5      10       4
Vardas1471         Pavarde1471       8       4       7       9       8       4       4       6       3       7       4       6      10       8       8       8
Vardas1472         Pavarde1472      10       1       2      10       2       8       1       3       3       3      10       8       8       5       9       4
Vardas1473         Pavarde1473       1       2       5       8      10      10       7       2       6       7       1       2       2       2      10       5
Vardas1474         Pavarde1474       6       1       7       9       5       4       7       2       4       5       4       7       4       5       3       2
Vardas1475         Pavarde1475       7       2      10       2       2       6       3       3       8       2       7       4       9       5       7       1
Vardas1476         Pavarde1476       2       2       9      10       6       7       9       2       2       6       5       1       3       3       2       5
Vardas1477         Pavarde1477       3       2       2       4       2      10       8       6       7       3      10       2       6       8       7       7
Vardas1478         Pavarde1478       8       8       2       6      10       1       6       2      10      10       8       4       7       7       2       2
Vardas1479         Pavarde1479       4       3       8       5       7       3       2       2      10       2       4      10       3       4       4       1
Vardas1480         Pavarde1480       1       8      10       5       5       7      10      10       1       8       5       9       8       1       1       4
Vardas1481         Pavarde1481       4       2       1       8       9       1       7       4       8       8       3       3       6       3       7       3
Vardas1482         Pavarde1482       8      10       5      10       2       4       3       1       3       8       8       2       5       3       7       8
Vardas1483         Pavarde1483       5       9       3       8       4       3       5       3       4       3       4       5       9       6       8       8
Vardas1484         Pavarde1484       9       7       8      10       6      10       8       2       8       6       4       5       5       1      10       1
Vardas1485         Pavarde1485       1       4       6       6       3      10       8       8       6       5       7      10       9       5       1       5
Vardas1486         Pavarde1486       8       8       8       1       1       1       7       7       8       8       4       8       3       8       6       1
Vardas1487         Pavarde1487       2       1      10       7       1       9       6      10       2       6       2      10      10       4       9       8
Vardas1488         Pavarde1488       4       7       7       7       8       1       2      10       7      10       4       8       1      10       9       7
Vardas1489         Pavarde1489       8       2       6       9       4       3       9       9       5       7       2       4       2       8      10       1
Vardas1490         Pavarde1490       2       1       1      10      10       2       8       5       5       9      10       3       1       9       5      10
Vardas1491         Pavarde1491      10       8      10       7       7       8       3       8      10       8       2       3       8       1       2       9
Vardas1492         Pavarde1492       4       2       2       4       1       4       7       4       3       9       5       2       1       1       2       7
Vardas1493         Pavarde1493       1       1       2       7      10       9       8       8       6       4      10       8       1       7       6       2
Vardas1494         Pavarde1494       9       4      10       8      10       7       5       8       8       7       5       3       3      10       5       3
Vardas1495         Pavarde1495       8       3       5       9       4       9       2       2       9       1       4       6       9      10       4       3
Vardas1496         Pavarde1496      10       4       6       6       8       8       3       5       3       7       6       7       7       8       1      10
Vardas1497         Pavarde1497       7       1       2      10       6       4       4       5       7       8       4       5       5       6       3       5
Vardas1498         Pavarde1498       2       4       9       5       5       1       7       8      10      10       6       1       2       1       2       7
Vardas1499         Pavarde1499       5       3       7       7       2       7       5       2       6       9       6       9       6       6       9       3
Vardas1500         Pavarde1500       3       6       1       7       1       8      10       1       9       2       8       8       9       6      10       4
Vardas1501         Pavarde1501      10       8       6       6       1       4       3       4       4      10      10       7       4       5       8      10
Vardas1502         Pavarde1502       3       4       6       6       5       5      10       4       9       5       9       1       3       8       4       6
Vardas1503         Pavarde1503       5       5      10       2       8       7      10       5       1       8       6       3       5       7       3       3
Vardas1504         Pavarde1504      10       6       3       1       8      10       1       4       7       6       7       9       2       7       6       7
Vardas1505         Pavarde1505       7       6       7       5       8       2       5       4       5      10       2       8       2       5      10       7
Vardas1506         Pavarde1506       4       9       6       7       5       7       8       6       4       3       2       7       5       8       2       8
Vardas1507         Pavarde1507       2       4       9       6       9       2      10       3      10       8       2       7       8       3       4      10
Vardas1508         Pavarde1508       1       1       9      10       2      10       9       2       3       3       6       3       7       9      10       6
Vardas1509         Pavarde1509       1       3       2       9       5       9       7      10       2       1       2       1       2       5       3       7
Vardas1510         Pavarde1510       6       3       9      10       3       6       8       8       4       6      10       4       4       6       3       6
Vardas1511         Pavarde1511       8       4       1       9       7       8       6      10       6       7       3       1       1       1       9      10
Vardas1512         Pavarde1512       4       7       6       8       8       3       2       7       9       1       2       9       2       3       4       1
Vardas1513         Pavarde1513       2       9       3       7       4       5       8       6       5       6       6       9       1       7       3       7
Vardas1514         Pavarde1514       2      10       7       8       6      10      10       1       1       8       2       7       8       2       9       5
Vardas1515         Pavarde1515       6       4       4       1       6       1       6       2       4       6       5      10       4       6       9       3
Vardas1516         Pavarde1516      10       4       2       7       3       8       7       7       5       7       5       9       3       6       8       9
Vardas1517         Pavarde1517      10       3      10       6       6       8       2      10       7       3       8       4       3      10       3       7
Vardas1518         Pavarde1518       4       7       9       2       9       9      10      10       5       2       4       6       5       9       9       6
Vardas1519         Pavarde1519       3       6       7       4       9       4      10       9       6       1       8       6       5       2       6       3
Vardas1520         Pavarde1520       5       7       9       4       5       7      10       5      10       1       7       7       3      10       1       1
Vardas1521         Pavarde1521       6       1       2       8       3       6       4       1      10       6       9       6       9       6       6       5
Vardas1522         Pavarde1522      10       5      10      10       4       9       4       3       6       7       4       9       4       6       3       7
Vardas1523         Pavarde1523       5       8       3       8       9       1       3       7       6       4       1       7       7       1       3       8
Vardas1524         Pavarde1524       4       3       2       9       6      10       7       7       4       2       2       1       9       9       7       1
Vardas1525         Pavarde1525       1       4      10       3       2       3       2       9       2       6       9       4       1       3       4       4
Vardas1526         Pavarde1526       7       2       8       6       3       2       2       8       9       1       7       7      10       9       9      10
Vardas1527         Pavarde1527       1       7       6      10       8       9      10       1       7      10       3       9       3       6       7       6
Vardas1528         Pavarde1528       1       1       5       9       6      10       7       8       9       2       7       6       7       8       5       9
Vardas1529         Pavarde1529       3       7       4      10       9       9       4       9       8       1       9       7       1       5       3       9
Vardas1530         Pavarde1530       4      10       8       9       6       2       2       2       1       2       2       9       5       4      10       5
Vardas1531         Pavarde1531       1       8      10       6       4       3       3       1       6       2       8       4       7       9      10      10
Vardas1532         Pavarde1532      10       3       3       2       2       8       5       3       2       9       5       1       9       2       2       2
Vardas1533         Pavarde1533       6       2       2       7      10       1       2       8       5      10       8       7       8      10       6       4
Vardas1534         Pavarde1534       3       6       6       2       1       2       5       4       3       9       5       3       4      10       5       3
Vardas1535         Pavarde1535       1       5       1       6       6       7       4       5       3       8       8       2       7       5       4      10
Vardas1536         Pavarde1536       7       3       7       8       7       4       7       6       4       7       8       1       4       5       6       3
Vardas1537         Pavarde1537       9       3       9       9       3       5       6       7       7       6      10      10       7      10       4       3
Vardas1538         Pavarde1538       6       3       8       3       2      10       7      10       7       5       4       8       4       1       2       7
Vardas1539         Pavarde1539      10       6      10       5       9       5       4       2       4       5      10       4      10       7       1       5
Vardas1540         Pavarde1540       4       1       2       7       7       8       9       3       5       2       5       2       7       1       3       2
Vardas1541         Pavarde1541       2       3      10       9       8       9       4       3       5       6       1       7       8       4       5       3
Vardas1542         Pavarde1542       8       5       3       6       1       3       5       6       5       2       4       6       3       5       3       5
Vardas1543         Pavarde1543       3       4       4      10       7       4       9       3      10       3       3      10       4       7      10       5
Vardas1544         Pavarde1544       5       2       1       1       5       3       2       8       5       8       6      10       8       5       2       3
Vardas1545         Pavarde1545       7       4       9       1       7       4       1       1      10       9       6       1       1       4       9       5
Vardas1546         Pavarde1546       4       8       4       8       9       9       8       3      10       6       4       1       1       2       6       7
Vardas1547         Pavarde1547       4      10      10       9       2       6       6       2       9       2       3       9       4       7       6       4
Vardas1548         Pavarde1548       5       5       1       6       7      10       9       8       5       2       9       6       9       8       7       2
Vardas1549         Pavarde1549       6       2       2       3       3       1       9       8       2       8       3       4      10       8       1       5
Vardas1550         Pavarde1550       2       7       2       6       7       8       2       8       6       6      10       6       4       2       1       6
Vardas1551         Pavarde1551       5       4       6       9       7       9       8       2      10       7       1       1       3       2       3       6
Vardas1552         Pavarde1552      10       4       3       5       7       1       8       6       4       8       6      10       1       8       8      10
Vardas1553         Pavarde1553       3       1       3       6       2       4       3       8       3       2       6       8       5       1       4       7
Vardas1554         Pavarde1554      10       2       7       4       9      10       1       5       4       7       8       8       1       9      10       1
Vardas1555         Pavarde1555      10       4       6       6       9       5       1       1      10       3       3      10       3       3      10       9
Vardas1556         Pavarde1556       3      10       3      10       2       4       3       8      10       1       5       5      10       7       3       2
Vardas1557         Pavarde1557       6       9      10       9       1       3       1       9       3       5       3      10       8       8       2       4
Vardas1558         Pavarde1558       3       4       1      10       7       1      10       6       5       9       7       7       7       2      10       4
Vardas1559         Pavarde1559       1       7       3       2       6       2       3       7       1       5       9       4       2       4      10       7
Vardas1560         Pavarde1560       8       5       1       6       3       4       6       9       7       3       6       2       3       2       8       7
Vardas1561         Pavarde1561       2       6       5       2       5       3       5       8       7       7       4       8       8       5       7       5
Vardas1562         Pavarde1562      10       4       6       9       4       1       3       6       5      10       1       3       2       5       1       4
Vardas1563         Pavarde1563       2      10       1       6       6       2       5      10       7       2       6       3       9       9       1       9
Vardas1564         Pavarde1564       9       1       6       6       7       8       7       4       2       6       6       3       5       4       9       3
Vardas1565         Pavarde1565       4       9       4       3      10       5       6      10       2       1       3       1       1       7       6       8
Vardas1566         Pavarde1566       3       6       1       6      10       9       4       4       2       5       1       3       5       9       3       1
Vardas1567         Pavarde1567       6       3       1       5      10       2       8       4       1       5       3       7       2       1       9       1
Vardas1568         Pavarde1568       2       2       6       4       6      10       8       7       6       2       9       8       8      10       5      10
Vardas1569         Pavarde1569       6       6       2       5      10       1       9       3       2       5       9       4       5       8       8       3
Vardas1570         Pavarde1570       6       6       3       7      10       1       7       4       2       5       2       8       1       6       9       1
Vardas1571         Pavarde1571       3       9       7       8       3       4       2       5      10       1       6       7       3      10      10       2
Vardas1572         Pavarde1572       9       8       2       2       8      10       3       6       7       5       2       1      10       9       3       1
Vardas1573         Pavarde1573       8       6       4       2       3       4       7       9       8       6      10       7       5       8       1       1
Vardas1574         Pavarde1574      10       9       6      10       3      10       6       9       6       7      10       7       8       8       4       7
Vardas1575         Pavarde1575       1       8       9       5       5       7       5       6       4       8       7       3       8       3       9       6
Vardas1576         Pavarde1576       8       1       1       6       3       1       1       2      10       9       3       3       8       4       1      10
Vardas1577         Pavarde1577       3       8       6       2       6       6      10       9       8       9       3       6       8       7       3       9
Vardas1578         Pavarde1578       6       8       7      10       3       8       5       9       7       4       3       7       6       5      10       6
Vardas1579         Pavarde1579       9       8       3       4       5       2       2       9       7       9       1       5       9       9       3       3
Vardas1580         Pavarde1580       8       4       1       5       2      10       5       3       7       3       4       3       3      10       5       4
Vardas1581         Pavarde1581       5      10       5       7       4       9       4       7       6      10       1      10      10       5       5       9
Vardas1582         Pavarde1582       6       7       4       2      10       1       9      10       6       1       8       9       9       1       8       5
Vardas1583         Pavarde1583       4       6       7       3       9       5      10      10       4       8       9       6       2       3      10       7
Vardas1584         Pavarde1584       9       7       2       8       6       3       5       1       6       9       3       6       5       9       2       8
Vardas1585         Pavarde1585       5      10       1       3       2       8       9       2       4       7       2       8       9       4       4       7
Vardas1586         Pavarde1586      10       2       1       2       1       4      10       5       9       9       2      10      10       6       6       5
Vardas1587         Pavarde1587       4       7       9       5       7       2       1       2      10       7       8       3       6      10       1       6
Vardas1588         Pavarde1588      10       7       3       5       9       8       6       6       2       6      10       2       2       8      10       2
Vardas1589         Pavarde1589       2       7       2       4       6       2       4       5      10       7      10       6       8       3       6       4
Vardas1590         Pavarde1590       5      10       5       8       3       6       7       3       4       2       1       4       2       3       4       9
Vardas1591         Pavarde1591       8       5       6       3       8       8       3      10       5       5       4       8       3       9       7       8
Vardas1592         Pavarde1592       9      10       5       1       6       8       6       8       8       4       5       3       9       9       8       6
Vardas1593         Pavarde1593       6       5       3       3      10       6       4       8      10       5       4       2       8       4       5       1
Vardas1594         Pavarde1594       8       2       3       5      10       6       9       8       6      10       3       4       7       2       1       4
Vardas1595         Pavarde1595       4       8       6       9       1       5       1       4       7       9       9       2      10       7      10       8
Vardas1596         Pavarde1596       8       2       2       7       3      10       9       5      10       3       5      10       3       8       1       5
Vardas1597         Pavarde1597       9       8       9       9       5       9       7       1       9       7       6       5       1       5       6       6
Vardas1598         Pavarde1598       3       2       4       6       2       2       4       2       7      10       5       2       8      10      10       4
Vardas1599         Pavarde1599       8       1       8       6      10       1      10       3       5       9       7       2       6       2      10       4
Vardas1600         Pavarde1600       5       2       6       9       4       2       4      10       2       5       4       5       2       8       7       9
Vardas1601         Pavarde1601       2       4       4       2       1       6       4       7       3       9       3       2      10       9       8       5
Vardas1602         Pavarde1602      10       6       8       1       6      10       2       8      10       1       4       6       6      10       8       8
Vardas1603         Pavarde1603       1       1       7       4       9      10       4       8       8       6       1       2       1       2       7       3
Vardas1604         Pavarde1604      10       7       6       9       5       8       8       9       2       8       6       9       2       4       2       7
Vardas1605         Pavarde1605       6       7       6       2       1      10       7       7       1       9      10       1       3       5       9       5
Vardas1606         Pavarde1606       4       1       7       4       1       4       1       1       6       7       8       9       7       2       4       6
Vardas1607         Pavarde1607       8       3       3       5       3       8       1       1       4       4       6      10       1       6       6       1
Vardas1608         Pavarde1608       1       4       1       1       6       3       5       7      10       2       6       5      10       8       5       4
Vardas1609         Pavarde1609       7       9       8       8       3       1       2       1       5       4       4      10       2       5       9       9
Vardas1610         Pavarde1610       4       6       3       2       9       1       2       9       9      10       9       4       1       2       1      10
Vardas1611         Pavarde1611       2      10      10       6       1       5       6       8       1       7      10      10       9       1       4       6
Vardas1612         Pavarde1612       7       7       7       8       7       8       3       1       6      10       9       3       7      10       2       9
Vardas1613         Pavarde1613       1       7       5       8       7       4       1       3       5       9       2       6       2       8       5       9
Vardas1614         Pavarde1614       4       1       7      10       2       8       2       8       9       5      10       5       2       4       6       9
Vardas1615         Pavarde1615       5       3      10       4       1       2       3       3      10       1       3       7       1       7       5       4
Vardas1616         Pavarde1616      10       8       6       5       9       5       3       3       1       8       7       7       1       7       4       5
Vardas1617         Pavarde1617       7       7       1       7       9       9       4      10       4       3       5       8       2       6       6       3
Vardas1618         Pavarde1618       2       6       2       4       5       1       4      10       2       3       6       6       3       9       1       8
Vardas1619         Pavarde1619       9       3       8       4       3       2       8       9       8       6       2       6       8       8       8       3
Vardas1620         Pavarde1620       7       1       5       4       8      10       4       9       1       9       9       3       6      10       2       3
Vardas1621         Pavarde1621       5       4       4       8       5       8       7       7       3       6       6       2       5       7      10       4
Vardas1622         Pavarde1622       5      10       4      10       6       7       4       3       7       6       3       4       7       2       3       1
Vardas1623         Pavarde1623      10      10       3       5       4       7       9       1       5      10       8       3       7       7       4       9
Vardas1624         Pavarde1624       7       3       4      10       8       2       8       3       2       3       4      10       1       5       7       6
Vardas1625         Pavarde1625       3       9       9       7       9       6       1       4       3       2       1       8      10       3       9       7
Vardas1626         Pavarde1626      10       3       1       7      10       7       2       7       9       6       7      10       6       9       4       5
Vardas1627         Pavarde1627       9       7       1       4       3       3       6       9       7       4       5       3       1       6       7       9
Vardas1628         Pavarde1628       2       3       1       4       6       6       7       4       9      10      10       3       5       6       6       8
Vardas1629         Pavarde1629       7       4       9       8      10       4       2       3       2       2       6       3      10       4       6       4
Vardas1630         Pavarde1630       4       4      10       4       6       3       5      10       9       8       9       8       3       7       2       6
Vardas1631         Pavarde1631       9      10       1       8       9       9       9       2       5       4       3      10       3      10       3       9
Vardas1632         Pavarde1632       6       5       6      10       5       6       6       1       5       2       1       1       8      10       8       3
Vardas1633         Pavarde1633       3       5       8       6       8       4       8       3       6       6      10       4       6       4       6       1
Vardas1634         Pavarde1634       2       4       6       5       1       1       5       5       1       5       2       5       1       5       2       8
Vardas1635         Pavarde1635       4       5      10       5       7       3       1      10       7      10       1       2       8       2       6       8
Vardas1636         Pavarde1636       5      10       5       4       9      10       2       5       6       3       1       6      10       6       6       4
Vardas1637         Pavarde1637       5       4       4       6       8       8       8       6       3       9       1       1       2       8       1       3
Vardas1638         Pavarde1638       3       1       5       8       2       1       1       5       5       5       6       9       2       7       5       8
Vardas1639         Pavarde1639       9       9       6       2      10       6       9       9       4       1       6       5       1      10       7      10
Vardas1640         Pavarde1640       4      10       2       7       1       3       7       6       8       1       3       8       4       2       2       1
Vardas1641         Pavarde1641       2       6       2      10       7       9       9       5       6       8       2       8       5       8       3       4
Vardas1642         Pavarde1642       2       5       4       6       6       4       1       2       6       6       5       2       8       9       9       1
Vardas1643         Pavarde1643      10       7       5       5       3       1       7      10       9       8       6       9       2       4       9       5
Vardas1644         Pavarde1644       4       7      10       1       1       4       8       4       6       9       6       4       1       8      10       3
Vardas1645         Pavarde1645       3      10       5       8       5       2       7       1       6       7       4       8       9       6       9       7
Vardas1646         Pavarde1646       7       4       2      10       2       5       3       9       2       9       8       3       3       2       7       1
Vardas1647         Pavarde1647       9       3       7       2       8      10       1       2       5       7       4       6       1       3       8       9
Vardas1648         Pavarde1648       3       7       4       4       7       3       9       8       3       3       8       8       5       5       7       9
